Household_ID;era;n_days;Weather_ID;hdd_raw_day;hdd_p6_day;hdd_normal_day;def_p6;def_normal;env_p6;env_normal;bin;raw_over_normal;p6_over_normal;def_ratio;rank_p6;rank_normal
781007;1976_1990;1552;Hg;3.981930020170327;3.697242358561121;3.7172538605042673;1481.0465288311093;1489.0627643426837;1481.0465288311095;1489.0627643426837;1095+;1.0712020673320801;0.994616589909081;1.0054125480567455;33.0;43.0
761079;1976_1990;1377;Hg;3.765477061033753;3.496264680625583;3.7172538605042673;2716.7314938580525;2888.448546089596;2267.2653707418503;2410.572917685902;1095+;1.0129728025954472;0.9405504202371839;1.0632072225833724;6.0;7.0
461089;1976_1990;1426;Hg;3.6829631075065556;3.419650053395131;3.7172538605042673;1677.4217642313783;1823.4036908520143;1677.4217642313781;1823.4036908520143;1095+;0.9907752458442373;0.9199398754356893;1.087027562020174;25.0;22.5
114109;1976_1990;1442;Hg;3.640544423003478;3.3802640882112143;3.7172538605042673;2034.0466025472651;2236.82747514725;1692.5886609736679;1861.3284554283548;1095+;0.9793639497383202;0.9093444287263882;1.0996933267635263;16.0;15.0
107114;1976_1990;1415;Hg;3.646595580478312;3.3858826188285165;3.7172538605042673;1132.2593581267865;1243.0718793036954;1132.2593581267868;1243.0718793036954;1095+;0.9809918066730127;0.9108559022033544;1.0978684966315821;51.0;56.0
671048;2001_2010;712;Hg;3.208740891141508;3.3564235262986486;3.7172538605042673;1412.3508481959852;1460.8323905661791;450.9725873264196;499.4541296966138;548-730;0.8632019796211129;0.9029309410262688;1.0343268405524875;16.0;16.0
109711;1991_2000;712;8jB;3.184779524914509;3.331359335684633;3.723456018059466;1300.1446030743787;1340.0169631215022;338.76634220481327;378.63870225193705;548-730;0.8553288959149042;0.8946954978189375;1.0306676349329449;10.0;10.0
7610179;1991_2000;1135;MqO;5.440884313349933;5.0518888703342;5.348647862061662;3220.6449187561648;3296.885719367455;870.6764920663825;921.8219318292588;1095+;1.0172448165717753;0.9445170070304321;1.0236725260109503;2.0;2.0
6569121;2001_2010;719;MqO;4.701064884803773;4.917431887870055;5.348647862061662;1950.2334840847197;1994.7952272356445;508.1660927803724;552.7278359312968;548-730;0.8789258530457313;0.9193785073700118;1.0228494400873434;10.0;10.0
5011111;pre1975;1150;MqO;5.584448865784499;5.185189290422005;5.348647862061662;7849.879750036855;8097.340365188216;7405.603584854087;7639.058781243118;1095+;1.0440860961132608;0.9694392721571595;1.031524128143517;2.0;2.0
5661171;2001_2010;561;HbsbG;3.6620680849414864;3.8306151516124336;3.836171410969115;718.4654354646154;719.5075605908046;718.4654354646163;719.5075605908046;548-730;0.9546153423880385;0.9985516133766094;1.00145048749007;20.0;21.0
110119;2001_2010;719;z6I;3.147466741246901;3.2923292272457125;3.628140633646451;1254.6106633535705;1284.519818448245;293.2324024840054;323.1415575786797;548-730;0.8675150880476068;0.9074425607192541;1.023839391747817;17.0;17.0
102766;2001_2010;719;MqO;4.701064884803773;4.917431887870055;5.348647862061662;1678.3773183076464;1741.2518947324445;716.9990574380811;779.8736338628793;548-730;0.8789258530457313;0.9193785073700118;1.0374615265226512;14.0;14.0
105900;2001_2010;537;MqO;5.580197082557418;4.457026423767906;5.348647862061662;3012.2653036837164;3134.0587600666304;608.8196515098027;730.6131078927172;365-548;1.0432911693697675;0.8332996560461402;1.0404325131103067;1.0;1.0
826780;pre1975;842;Hg;4.069792376673895;3.659885230821848;3.7172538605042673;2354.8775980422415;2391.7902585081465;2064.8856722989344;2097.2527149791363;730-1095;1.0948384289583613;0.9845669325165118;1.0156749805155871;33.0;36.0
698310;pre1975;503;Hg;3.574444694153917;2.8549877748833206;3.7172538605042673;2608.3493320613443;3396.1254438453834;2416.7407888282755;3146.6471086648294;365-548;0.9615820786770325;0.7680368040551379;1.3020209379552201;30.0;26.0
