Household_ID;era;pv;area_m2;kwh_per_day;hdd_per_day;n_days;tier;deficiency;deficiency_lo;deficiency_hi;E_as_built;E_as_built_lo;E_as_built_hi;E_reference;E_reference_lo;E_reference_hi;band;decisive;window;pv_lvl;kwh_yr;implied_appliance;rank_in_era;n_decisive_in_era
6885841;post2010;False;170.0;17.714525587828494;3.3702058853007797;723;T1;-100.5835733766462;-309.0807309819223;107.06306295618666;3043.296222628368;2646.9862337175905;3322.07940763144;3143.879796005014;2733.4127177520895;3392.161976345955;416.14379393810896;False;post_visit;no PV;6465.8018395574;3422.505616929032;;1
2794690;1976_1990;False;140.0;21.450657465495606;3.738086183696107;797;T2;1036.0872185304506;592.4671132762783;1717.504067054894;4476.0031522201825;3943.3906041236223;5419.631634227811;3439.915933689732;3128.756782592409;3944.0456799732947;1125.0369537786157;True;post_visit;no PV;7829.489974905896;3353.4868226857134;46.0;53
111119;1976_1990;False;180.0;17.850003759398497;3.7650931677018633;798;T1;1556.4311988077056;1285.9497266424105;2321.896058097075;3697.3272433053044;3387.8925296997463;4802.458139992736;2140.8960444975987;1992.7943282698968;2585.2733651690555;1035.9463314546647;True;post_visit;no PV;6515.251372180452;2817.9241288751473;14.0;53
105807;1976_1990;False;200.0;33.817597186700766;3.681842099410653;782;T3;1388.0844517540563;746.1750107824678;2665.6017044356936;3465.4547331728963;2827.2128839626907;4937.025725166516;2077.37028141884;1903.0579742262998;2397.9977374363184;1919.4266936532258;True;post_visit;no PV;12343.42297314578;8877.968239972884;38.0;53
7374981;post2010;True;200.0;24.84075031847134;5.372074079202436;785;T1;-128.33713819719878;-430.38376301948693;130.2936997603935;4090.7745913275435;3762.3316367244975;4747.5736539249765;4219.111729524742;3874.870922594607;4890.904643293316;560.6774627798804;False;post_visit;PV;9066.873866242038;4976.099274914495;;1
861116;1976_1990;False;195.0;17.91939664082687;3.597939454368423;774;T2;1252.029429536116;667.267588121338;2000.6258584944194;3543.441022798923;2906.1057440907284;4450.453541631841;2291.411593262807;2101.0368423162845;2616.3371152688887;1333.3582703730813;True;post_visit;no PV;6540.579773901808;2997.138751102885;41.0;53
108511;2001_2010;False;274.0;38.18139152759949;3.6855565012743954;779;T1;450.84686471939676;196.8922177005082;791.9386394502459;4138.696851655039;3718.455029329549;4756.362598371578;3687.849986935642;3398.4311104659578;4206.836781260961;595.0464217497376;True;post_visit;no PV;13936.207907573813;9797.511055918774;20.0;29
86109;1976_1990;False;160.0;18.400541009463723;3.99377447080876;634;T2;1536.5768320587154;762.4763378547668;2243.2587187231015;4051.352075796906;3075.164813562669;4695.948829017725;2514.7752437381905;2162.716460626987;2722.296536736489;1480.7823808683347;True;post_visit;no PV;6716.197468454258;2664.8453926573525;37.0;53
1037311;1976_1990;False;180.0;10.70833918918919;3.4945644339992166;740;T2;786.2646381465242;179.52412738426125;1504.3406930870412;3058.524733982574;2420.9074188875443;3934.9181698311827;2272.26009583605;2066.69509605932;2577.6104627606655;1324.81656570278;True;post_visit;no PV;3908.543804054054;850.0190700714797;51.0;53
116121;pre1975;False;395.0;80.56500651890482;3.8880447914895226;767;T1;8841.509911626914;7779.182967908858;12736.661005992852;12681.955207416786;11378.183427731998;17297.84272802439;3840.445295789872;3485.223377769277;4714.86103389577;4957.478038083994;True;post_visit;no PV;29406.22737940026;16724.272171983474;1.0;29
