Household_ID;era;visit_status;technician_recoverable_envelope_kwh;slope_excess_lo_kwh;slope_excess_hi_kwh;not_recoverable_by_visit_kwh;slope_excess_pct;step_kwh_day;rank_in_era;beta_meas;beta_phys;n_days
110119;2001_2010;INCONCLUSIVE;410.0;-234.48577034356416;545.4914083972192;1498.0;26.467407419748866;4.457365341814366;;1.4790576376831082;1.1695168485379592;719
102766;2001_2010;SLOPE_EXCESS;5107.0;619.3819624833061;9106.369058411776;1847.0;182.3655095136372;4.09730655487067;4.0;4.050312691648853;1.4344218947368421;719
105900;2001_2010;SLOPE_EXCESS;1435.0;119.26267784701449;1623.4448671295527;3679.0;38.61901539681387;3.7419211826651604;9.0;2.6391074435662727;1.9038567226952992;537
826780;pre1975;INCONCLUSIVE;-289.0;-1822.429983551966;519.4781026638778;1180.0;-13.572611668740663;6.740428960601268;;1.3576968241425234;1.5709103912046214;842
698310;pre1975;INCONCLUSIVE;60.0;-3107.0063163591312;1723.9204426120016;1880.0;1.554820049365505;3.0061206648552763;;2.893798291548147;2.849493790783618;503
24611;pre1975;SLOPE_EXCESS;1477.0;478.40904058865493;2094.136995975679;2472.0;36.31120232862107;1.8482288383840073;4.0;3.9549748641627653;2.9014305475994946;707
6683113;pre1975;INCONCLUSIVE;-273.0;-2048.802586913778;98.65671600584935;2398.0;-6.930125429220828;6.305984074130581;;2.700357771409121;2.9014305475994946;322
896968;1976_1990;INCONCLUSIVE;446.0;-1992.7413784361602;948.6650517244735;1064.0;14.877956020102763;2.6182517090510795;;2.535294510816446;2.20694604835482;344
9981041;2001_2010;INCONCLUSIVE;1078.0;-492.88678855788567;1241.8543284609484;388.0;43.26406715261457;8.439977718813397;;2.6956366505437135;1.8815860139389586;1033
111710;1991_2000;SLOPE_EXCESS;1847.0;526.732822775758;2833.811885779186;1649.0;41.89016602864561;1.564833969629117;6.0;3.2046871420157923;2.258568885858384;991
1027273;2001_2010;INCONCLUSIVE;900.0;-222.341977317289;1085.6360375247211;2985.0;28.288501320850965;3.0959479083342973;;2.090583096176017;1.629595072552485;682
6981151;pre1975;SLOPE_EXCESS;5599.0;2090.5630339096483;7439.436559603478;2023.0;135.25106554461584;21.647824718526497;1.0;7.353902096885406;3.1259803562890656;902
876511;1991_2000;SLOPE_EXCESS;3007.0;520.609928740416;3444.5240732228976;5961.0;43.87649953550542;6.859789031890731;7.0;5.051525186609675;3.511014795966088;412
7412010;2001_2010;INCONCLUSIVE;-50.0;-1538.183954584057;102.68394274761955;656.0;-1.2652360747448044;0.2732139427088881;;1.9836769924004556;2.009096810017342;783
6810910;1976_1990;INCONCLUSIVE;1391.0;-26.638209823590017;2496.704751506502;1779.0;33.74497421238816;1.442415307753896;;2.8243655178612506;2.111754504790688;825
9889190;pre1975;INCONCLUSIVE;-1103.0;-2529.0212400099117;34.38857011678953;1784.0;-34.82002982138553;5.6357002162585035;;1.5221050461930679;2.3352343396629385;776
6808461;post2010;INCONCLUSIVE;16.0;-316.04847080590804;256.9508503908887;83.0;1.1802381245648497;5.649157280714951;;0.9806268887619463;0.9691881605918722;821
6773102;pre1975;INCONCLUSIVE;-155.0;-1183.9888236248212;763.009663105165;1566.0;-5.583295707098992;10.183140550969295;;1.9248653392057427;2.038691515046315;797
4710670;pre1975;INCONCLUSIVE;1025.0;-637.5319049067349;1289.6935971920234;3032.0;18.87856541265361;7.464369941867769;;4.755611330387336;4.000394279557097;798
716869;1976_1990;INCONCLUSIVE;-556.0;-1653.0685318911828;379.0183449101397;1264.0;-18.308495851415504;6.3013413059845576;;1.7710773495211733;2.1680067810966626;811
115508;pre1975;INCONCLUSIVE;676.0;-349.96956036149373;1062.454202391113;1413.0;26.85537901093198;11.510132086745035;;2.279962870460481;1.797293018425337;788
781099;1976_1990;INCONCLUSIVE;480.0;-66.91731409092796;881.5376905574584;1387.0;19.81584886871594;9.79576967281318;;1.9632498023494085;1.638556018161313;809
105768;pre1975;INCONCLUSIVE;-498.0;-2221.994200196013;924.1222443493901;2081.0;-13.047419452040609;6.10593437248622;;2.447117170604968;2.8143123012378464;736
8010411;post2010;SLOPE_EXCESS;1618.0;1014.8484537713067;2050.8999961541736;120.0;48.754639221882606;8.849874882848603;3.0;3.7271537641631376;2.5055714454751965;770
7086681;2001_2010;SLOPE_EXCESS;1837.0;1069.1278843531386;2696.9079567175295;528.0;82.46493834310749;0.33446155846022635;2.0;2.9960570743590833;1.6419905662781584;817
868122;1976_1990;USES_LESS_THAN_MODELLED;-827.0;-1696.7146005975867;-356.55250342071633;2718.0;-16.007294531200667;3.1251992939507387;;3.199440053665151;3.8091879953237644;813
881223;1976_1990;SLOPE_EXCESS;4508.0;2769.4326323789833;5636.284305697152;3459.0;105.48074584678045;12.11637995377216;2.0;6.26400226898204;3.04846190973673;800
118708;1991_2000;SLOPE_EXCESS;1259.0;803.7529959365562;1570.8992905357277;229.0;111.36143249248488;9.035222766362837;4.0;1.7605686679428212;0.8329659045083447;804
1037610;post2010;INCONCLUSIVE;981.0;-92.8880336547841;1619.4157621002278;50.0;72.255214361106;-3.600025400649832;;1.7201784086239136;0.9986219662516745;803
6885841;post2010;INCONCLUSIVE;-96.0;-407.2173769312762;182.98846531212303;78.0;-5.021916991119441;3.1963172546938488;;1.331613463967894;1.402021836809853;723
2794690;1976_1990;INCONCLUSIVE;775.0;-66.76652030080002;1417.017316900328;778.0;35.77509523948662;5.424581291474861;;2.1647129432029537;1.5943372673646292;797
111119;1976_1990;USES_LESS_THAN_MODELLED;-452.0;-1128.1808186180335;-340.02503456019133;1110.0;-19.070680056949797;5.119058191950407;;1.414467319988221;1.7477810526315787;798
105807;1976_1990;SLOPE_EXCESS;3076.0;2172.808752081383;3736.7136341787523;1306.0;122.54808312341376;11.8607619919999;3.0;4.110673677662793;1.8470946233148295;782
7374981;post2010;SLOPE_EXCESS;3635.0;2612.8713986057487;4394.775921030138;308.0;122.25383400697709;-0.27723871909583936;2.0;3.3852480780738388;1.5231449631449632;785
861116;1976_1990;INCONCLUSIVE;-867.0;-1957.5281456580733;281.04745130601816;1702.0;-24.647672589994617;9.49591781312208;;1.9491426488794472;2.586705302775608;774
108511;2001_2010;SLOPE_EXCESS;1326.0;405.8676926994195;2215.2105108749406;791.0;54.258798307211656;10.29314888709202;7.0;2.777524177718269;1.8005612698905737;779
86109;1976_1990;INCONCLUSIVE;-52.0;-950.7872491243954;625.3551148760054;956.0;-2.0303898433836123;3.4326717854852857;;1.8665771449685193;1.9052613784872348;634
1037311;1976_1990;USES_LESS_THAN_MODELLED;-645.0;-1432.4369036776066;-185.97811333468144;601.0;-37.79844272168934;1.8712572386430897;;0.7823783750885354;1.2578115554051352;740
116121;pre1975;USES_LESS_THAN_MODELLED;-1952.0;-4373.20598539699;-1112.4953641971777;7988.0;-18.863486109721226;3.4542052610059213;;5.674530214965614;6.993805800726543;767
120741;1976_1990;SLOPE_EXCESS;2706.0;2025.6069057175048;3310.0224510881853;1546.0;86.72572808870238;3.5655017731628527;4.0;4.294477618716964;2.299885325217161;770
114721;1976_1990;SLOPE_EXCESS;1752.0;656.9004608614908;2787.680165709117;1507.0;58.83129214955865;9.333313600195414;7.0;3.486129052691804;2.1948628670786086;770
815461;1976_1990;INCONCLUSIVE;586.0;-684.653448311599;1416.8842968054416;1102.0;23.424536258684668;1.731097346586297;;2.2723726382289198;1.8411028366890267;684
1678757;1976_1990;INCONCLUSIVE;-822.0;-1992.762488169773;41.90934399477272;1120.0;-26.18993805323866;1.5499387593585534;;1.5667357040917143;2.122658703662638;757
971071;1976_1990;INCONCLUSIVE;349.0;-1412.9981697116355;1610.1314955782123;1312.0;9.897394051735452;6.580554939854328;;2.8539466121110375;2.596919277965326;768
