Household_ID;era;area;footprint;n_above;has_basement;A_wall;A_roof;huell_b05;huell_sia;H_b05;H_sia;Tbal_b05;Tbal_sia;Pdes_b05;Pdes_sia
105807;1981 - 85;200.0;100.0;2;False;216.0;100.0;1.83;1.65;390.38;361.58;17.43839336031559;17.234360307539134;58.556999999999995;54.236999999999995
7374981;> 2010;200.0;100.0;2;False;216.0;100.0;1.83;1.4;185.41999999999996;164.77999999999997;14.606838528745548;13.931302342517295;27.81299999999999;24.717
861116;1976 - 80;195.0;65.0;3;False;261.217151044873;65.0;1.8395751335634511;1.65;382.1142208358984;352.5405;17.448406924329777;17.234360307539134;58.78680320552282;54.237
108511;2000 - 10;274.0;156.0;2;False;269.7839135308108;156.0;1.838627421645295;1.4;335.19816541232433;287.1246;15.912865458810685;15.2285523427808;36.70052905974354;31.436999999999998
119701;< 1975;200.0;100.0;2;False;216.0;100.0;1.83;2.0;591.6800000000001;637.5799999999999;18.3098972417523;18.43156937168669;88.75200000000001;95.63699999999999
86109;1981 - 85;160.0;60.0;3;False;250.96932083424065;60.0;2.131058255214004;1.65;350.8394566673925;289.264;17.71975476304985;17.234360307539134;65.7823981251361;54.237
1037311;1976 - 80;180.0;60.0;3;False;250.96932083424065;60.0;1.8942740046346702;1.65;360.5974566673925;325.422;17.504142130347468;17.234360307539134;60.09957611123209;54.237
768498;1986 - 90;200.0;68.0;3;False;267.1772445400244;68.0;1.845886222700122;1.65;392.92179563201955;361.58;17.454964292852505;17.234360307539134;58.93826934480293;54.236999999999995
116121;< 1975;395.0;235.0;1;True;165.56086494096363;235.0;1.311546493521427;2.0;892.102667670301;1259.2205;17.78612925218837;18.43156937168669;67.7546329876178;95.637
120741;1981 - 85;164.0;66.0;2;True;175.47922954013677;66.0;1.6736538386593705;1.65;299.5989836321094;296.4956;17.26300807145957;17.234360307539134;54.80469212782489;54.237
114721;1981 - 85;140.0;80.0;2;False;193.19627325598185;80.0;2.2371162375427276;1.65;318.8630186047855;253.106;17.804699952152134;17.234360307539134;68.32778970102547;54.237
815461;1981 - 85;240.0;120.0;2;False;236.6161448422318;120.0;1.7359006035092992;1.65;450.3889158737855;433.896;17.335636029870056;17.234360307539134;56.29861448422319;54.237
1678757;1976 - 80;200.0;100.0;2;False;216.0;100.0;1.83;1.65;390.38;361.58;17.43839336031559;17.234360307539134;58.556999999999995;54.236999999999995
971071;1981 - 85;250.0;150.0;1;True;132.2724461102916;150.0;1.4290897844411665;1.65;407.7929568882333;451.97499999999997;16.934719006580107;17.234360307539134;48.93515482658799;54.236999999999995
121728;> 2010;455.0;170.0;2;True;281.6295439047545;170.0;1.1794055909994603;1.4;350.78559053714105;374.8745;13.514556865017168;13.931302342517295;23.128720255196114;24.717000000000002
114798;< 1975;301.0;186.0;1;True;147.29236232744725;186.0;1.416253695440024;2.0;722.3525891420538;959.5579;17.91652992925864;18.43156937168669;71.99527466532098;95.637
1081057;> 2010;200.0;80.0;3;False;289.7944098839728;80.0;2.0489720494198638;1.4;195.93065837215346;164.77999999999997;14.896153525393736;13.931302342517295;29.389598755823016;24.717
9776611;> 2010;180.0;90.0;2;False;204.915592378911;90.0;1.8884199576606167;1.4;169.40174217093863;148.302;14.687185689673516;13.931302342517295;28.23362369515644;24.717
996610;2000 - 10;240.0;80.0;3;True;289.7944098839728;80.0;1.7074767078498865;1.4;281.0137639535891;251.49599999999998;15.729746532279513;15.228552342780798;35.126720494198636;31.436999999999998
7411010;> 2010;260.0;90.0;3;True;307.37338856836647;90.0;1.7014361098783326;1.4;233.02361325640794;214.21399999999997;14.42116624219734;13.931302342517295;26.887339991123994;24.716999999999995
512280;> 2010;300.0;150.0;2;True;264.5448922205832;150.0;1.631816307401944;1.4;263.8607741329399;247.16999999999996;14.315183812641052;13.931302342517295;26.386077413293993;24.716999999999995
7710511;< 1975;200.0;90.0;2;True;204.915592378911;90.0;1.699577961894555;2.0;556.4660497115299;637.5799999999999;18.20294517425026;18.43156937168669;83.46990745672949;95.63699999999999
823761;1991 - 95;240.0;140.0;2;False;255.57464662990344;140.0;1.939894360957931;1.65;373.1620556464469;334.89599999999996;16.784238960413106;16.416798050738137;46.64525695580586;41.861999999999995
1101758;1976 - 80;192.0;64.0;2;True;172.8;64.0;1.4000000000000001;1.65;308.71680000000003;347.1168;16.890353877728714;17.234360307539134;48.237;54.237
1061168;> 2010;160.0;54.0;3;False;238.09040299852495;54.0;1.994315018740781;1.4;154.64569671964597;131.82399999999998;14.826884827902429;13.931302342517295;28.99606813493362;24.716999999999995
