Household_ID;era;area;footprint;n_above;bsmt;huell;residents;hp_type;emitter;jaz;jaz_derived;H_as_built;H_reference;required_kW_phys;installed_kW;ratio_phys;E_as_built;E_reference;deficiency;term_envelope;term_emitter;term_dhw;kwh_yr;rank_in_era
112810;1991 - 95;180.0;80.0;2;True;2.0083074531665406;4;air-source;floor_only;3.5;False;286.64443786348755;185.06424688232389;8.599333135904626;6.83;0.7942476343290895;4210.432579706886;3242.491151515311;967.9414281915751;967.9414281915751;0.0;0.0;11367.184706227968;12.0
118708;1991 - 95;186.0;66.0;1;True;1.2398356029844224;2;ground-source;floor_only;4.25;False;217.58458218530643;152.7833345597226;6.527537465559194;8.0;1.2255770330250666;2395.1596940096274;1902.0760204565527;493.08367355307473;493.0836735530745;0.0;0.0;8721.785677419353;13.0
112691;1991 - 95;320.0;80.0;3;True;1.4315421193686508;2;air-source;floor_only;3.5;False;408.0794130088825;279.35514563525345;12.242382390266476;2.75;0.22462948079341455;1063.2187296816744;961.1119910630078;102.10673861866655;102.10673861866653;0.0;0.0;3410.0466858789623;14.0
747511;1991 - 95;168.0;53.0;2;False;1.4092284143360667;3;air-source;both;3.1;False;212.17990548465255;145.65305050067553;6.365397164539576;11.84;1.8600567559175099;;;;;;0.0;;
876511;1995 - 00;500.0;250.0;2;False;1.43305197459637;8;air-source;floor_only;3.5;False;638.0392930140017;436.6954905832117;19.14117879042005;27.0;1.410571433224019;12755.697417788;7031.902049604036;5723.7953681839645;1878.2823247057022;0.0;3845.513043478261;17719.577038834952;1.0
7610179;1995 - 00;280.0;140.0;2;False;1.662766595106798;4;air-source;both;3.1;False;392.67805564644686;261.851579943444;11.780341669393405;;;9439.180338358809;5044.874445907722;4394.305892451087;2011.4421490801042;460.10722163185187;1922.7565217391304;12192.36191629956;2.0
816910;1995 - 00;180.0;90.0;2;False;1.8884199576606167;3;air-source;floor_only;3.5;False;274.7755758084011;179.25929434992707;8.243267274252032;12.0;1.455733461109793;6802.595426824304;3882.728731331633;2919.866695492671;1477.799304188322;0.0;1442.0673913043477;14925.86218487395;3.0
5610182;1995 - 00;140.0;50.0;3;False;2.172161407888867;2;air-source;floor_only;3.5;False;235.56242840744278;150.10959862109473;7.066872852223283;6.6;0.9339350145409221;3897.239227976694;2139.115053634276;1758.124174342418;796.7459134728529;0.0;961.3782608695652;11486.81616621984;4.0
109711;1995 - 00;160.0;160.0;1;False;2.3538149682454623;2;ground-source;floor_only;4.25;False;285.1997172056007;179.37219623328468;8.555991516168021;;;3573.0629190687;1916.991260454614;1656.0716586140861;694.6933977445207;0.0;961.3782608695652;6413.6133918539335;5.0
674801;1995 - 00;150.0;50.0;3;False;2.027350647362943;2;ground-source;floor_only;4.25;False;240.4414284074428;154.98859862109475;7.213242852223284;8.5;1.178388163845074;4392.521759822866;3094.2463709045173;1298.275388918349;1298.2753889183493;0.0;0.0;11140.412258064516;6.0
1141047;1995 - 00;148.0;60.0;3;False;2.3038467623935177;2;air-source;floor_only;3.5;False;259.7423264588324;163.92994730441075;7.792269793764972;5.8;0.7443274108194896;3817.492308564558;2682.1067622604037;1135.385546304154;1135.3855463041536;0.0;0.0;5386.660641025641;7.0
7069411;1995 - 00;190.0;90.0;2;True;2.0586552130191516;4;air-source;floor_only;3.5;False;307.83046976050133;197.91886793740883;9.234914092815039;12.0;1.299416527256735;4246.374531348223;3258.2923929677672;988.082138380456;988.0821383804556;0.0;0.0;10857.544438314944;8.0
821088;1995 - 00;220.0;110.0;2;False;1.7797395963852398;2;ground-source;floor_only;4.25;False;322.68649116261406;212.66298931407852;9.68059473487842;9.5;0.9813446652995655;3056.2243021017252;2266.3191288134853;789.9051732882399;789.9051732882401;0.0;0.0;9069.217712355212;9.0
730976;1995 - 00;130.0;50.0;2;True;2.045529468618214;3;air-source;floor_only;3.5;False;209.68235700620232;134.95916551757895;6.290470710186069;15.0;2.3845592311097983;3257.1297121721054;2491.714859473703;765.4148526984022;765.4148526984015;0.0;0.0;11827.065669642858;10.0
105900;2000 - 10;240.0;120.0;2;False;1.7359006035092992;5;air-source;floor_only;3.5;False;283.7424579368927;229.16574296256033;8.512273738106781;11.6;1.3627381304798076;8215.120915188447;5049.433059324262;3165.6878558641847;762.242203690273;0.0;2403.445652173913;13947.219590316574;1.0
6901131;2000 - 10;195.0;195.0;1;False;2.2734040639625874;4;air-source;floor_only;3.5;False;272.4660169890818;214.39191017515753;8.173980509672456;7.2;0.8808437934834904;6270.742336525864;3736.4920749965377;2534.250261529326;611.4937397901953;0.0;1922.7565217391304;12959.808045634922;2.0
706646;2000 - 10;160.0;100.0;3;False;2.9625;4;air-source;floor_only;3.5;False;267.664;205.57;8.02992;6.1;0.7596588758044911;5941.106989936106;3429.2696495844903;2511.837340351616;589.0808186124866;0.0;1922.7565217391304;8866.578833865815;3.0
610891;2000 - 10;240.0;110.0;2;True;1.8674099541914206;4;air-source;floor_only;3.5;False;296.3673556023764;237.65598664259812;8.89102066807129;11.6;1.304687103209306;6147.126562333975;3680.5116241081087;2466.6149382258664;543.8584164867356;0.0;1922.7565217391304;12389.383258495145;4.0
1027273;2000 - 10;200.0;80.0;2;True;1.8074767078498866;4;air-source;floor_only;3.5;False;242.1781366279909;194.8222468823239;7.265344098839727;10.6;1.4589811378228894;6128.298653534384;3672.398341747772;2455.9003117866123;533.1437900474815;0.0;1922.7565217391304;10092.087837243402;5.0
8399121;2000 - 10;168.0;84.0;2;False;1.928376607274359;4;air-source;floor_only;3.5;False;211.55410800883692;169.11439563594283;6.3466232402651075;8.0;1.2605128266075911;5979.512098277151;3539.6426683526506;2439.8694299245008;517.1129081853703;0.0;1922.7565217391304;10574.741820083682;6.0
