Household_ID;era;area_m2;residents;pv_level;n_days;hdd_per_day_raw;meas_kwh_day;pred_heat_kwh_day;pred_dhw_kwh_day;pred_appl_kwh_day;pred_noappl_kwh_day;pred_kwh_day;pred_lo_kwh_day;pred_hi_kwh_day;resid_noappl_kwh_yr;resid_kwh_yr;ratio_meas_pred;inside_band;above_band;band_rel_width
867211;1991_2000;245.0;2;Unknown;718;3.190704069274555;14.443988857938718;8.649035956706324;4.66;7.838356164383562;13.309035956706325;21.147392121089887;19.809034536258125;25.7217538194242;414.25780894982375;-2446.742191050176;0.6830151337447423;False;False;0.279595670677021
1114677;post2010;220.0;3;Unknown;500;6.703276086956522;60.0459;10.069894927056895;6.989999999999999;9.464383561643835;17.059894927056895;26.52427848870073;25.61050114713327;30.44811178541436;15689.891851624234;12235.391851624234;2.2638089863812656;False;True;0.18238424997467498
611797;1976_1990;275.0;2;Unknown;1130;3.7071054828780303;33.10231592920354;10.083475197647557;4.66;7.838356164383562;14.743475197647557;22.581831362031117;20.177386207432207;28.39647416715962;6700.976867017935;3839.976867017935;1.4658827000568904;False;True;0.3639690611429732
1137376;1976_1990;200.0;5;False;1678;3.471233024131558;41.426128724672225;8.552600711058552;11.65;12.57945205479452;20.20260071105855;32.782052765853074;32.73062312040867;38.81380650679506;7746.587724968991;3155.08772496899;1.2636831811772056;False;True;0.18556444374718484
700831;1976_1990;450.0;2;Unknown;836;3.998555786699951;76.82277751196172;22.405170275671654;4.660000000000002;7.838356164383562;27.065170275671655;34.90352644005522;32.245949180316714;43.51473550176083;18161.526641245873;15300.526641245873;2.2010033182148625;False;True;0.3228552375874571
1191127;2001_2010;220.0;3;True;296;3.053555743243243;35.360010135135134;4.447283310450648;3.0391304347826087;9.464383561643835;7.486413745233257;16.950797306877092;16.663527573620584;20.217399945180727;10173.862682314186;6719.362682314185;2.08603816652266;False;True;0.2096581244658211
121798;1976_1990;207.0;2;Unknown;424;4.00597084358764;28.344919811320754;8.691782203260441;4.659999999999999;7.838356164383562;13.351782203260441;21.190138367644003;19.890433025842324;25.839598277202604;5472.495226942014;2611.4952269420137;1.3376467543318002;False;True;0.28075160001995453
114671;pre1975;260.0;4;Unknown;571;2.5519838066956013;35.04106479859895;11.029247939390734;4.05217391304348;11.09041095890411;15.081421852434215;26.171832811338327;24.222429305092426;33.45635467996021;7285.26967535013;3237.2696753501286;1.338884634148291;False;True;0.3528192099281408
1121037;2001_2010;150.0;4;Unknown;683;3.165213380864473;39.68100585651538;3.4498817075095674;4.052173913043479;11.09041095890411;7.502055620553046;18.592466579457156;18.583049712793663;22.121159384512566;11745.31683612625;7697.316836126251;2.134251831887598;False;True;0.19029802509518376
9880798;1991_2000;150.0;4;False;587;3.402035849196356;43.293468483816014;4.619239674771386;9.320000000000002;11.09041095890411;13.939239674771388;25.029650633675498;24.568809225697546;28.874145232928317;10714.29351530129;6666.293515301289;1.7296872863885655;False;True;0.17200943274207223
