Household_ID;era;area;residents;hp_type;emitter;huellzahl;u_as_built;H_as_built;H_reference;T_bal_q_int_5.0;base_used;jaz_as_built;jaz_derived;E_as_built;E_reference;deficiency_kwh_yr;term_envelope;term_emitter;term_dhw;kwh_yr_actual
7610179;1995 - 00;280.0;4;air-source;both;1.65;0.55;390.712;260.89;16.41679805073814;16;3.1;False;12641.736247701097;6943.705501698296;5698.030746002802;3070.156543820133;705.1176804435389;1922.7565217391304;12192.36191629956
6569121;2000 - 10;150.0;3;air-source;floor_only;1.4;0.4;157.18499999999997;129.67499999999998;15.228552342780798;15;3.5;False;5187.207164905121;3283.820750751647;1903.386414153474;461.3190228491261;0.0;1442.0673913043477;9449.071773296244
5011111;< 1975;286.0;5;air-source;both;2.0;1.35;911.7394;293.4074;18.43156937168669;18;3.1;False;28341.812336389812;9400.165824118074;18941.646512271738;17967.27728952438;974.3692227473534;0.0;19190.898904347825
5661171;2000 - 10;250.0;4;ground-source;floor_only;1.4;0.4;261.97499999999997;216.12499999999997;15.228552342780798;15;4.25;False;4432.86864760023;3915.8999138881973;516.9687337120331;516.9687337120322;0.0;0.0;18133.33220970537
110119;2000 - 10;130.0;2;air-source;floor_only;1.4;0.4;136.22699999999998;112.38499999999999;15.228552342780798;15;3.5;False;3368.6236058380664;2115.3658628512185;1253.257742986848;291.8794821172834;0.0;961.3782608695652;7082.724485396383
102766;2000 - 10;216.0;2;ground-source;floor_only;1.4;0.4;226.3464;186.732;15.2285523427808;15;4.25;False;4826.716496734544;3318.268147592133;1508.4483491424112;547.070088272846;0.0;961.3782608695652;15505.927969401948
105900;2000 - 10;240.0;5;air-source;floor_only;1.4;0.4;251.49599999999998;207.48;15.228552342780798;15;3.5;False;9009.076347789945;5773.106645435026;3235.9697023549197;832.5240501810054;0.0;2403.445652173913;13947.219590316574
826780;< 1975;150.0;4;ground-source;radiator_only;2.0;1.35;478.185;153.885;18.43156937168669;18;3.4;True;11574.233709657687;4078.0348289029835;7496.198880754703;6846.451043094174;649.7478376605286;0.0;4869.689115201901
698310;< 1975;200.0;5;air-source;both;2.0;1.35;637.5799999999999;205.18;18.43156937168669;18;3.1;False;15707.588479852086;5799.004666642411;9908.583813209674;9398.880546265631;509.703266944042;0.0;9189.640556660039
24611;< 1975;160.0;1;air-source;radiator_only;2.0;1.35;510.06399999999996;164.144;18.43156937168669;18;2.8;False;11479.915817052197;3230.0533406281465;8249.86247642405;7534.789358658315;715.0731177657326;0.0;6995.852984550561
6683113;< 1975;160.0;4;air-source;radiator_only;2.0;1.35;510.06399999999996;164.144;18.43156937168669;18;2.8;False;11695.08607460018;4109.148086205786;7585.937988394394;6928.411836408163;657.5261519862293;0.0;8260.86809815951
896968;1976 - 80;200.0;2;air-source;floor_only;1.65;0.8;361.58;186.35;17.234360307539134;17;3.5;False;6250.487193982695;3579.7463436763687;2670.7408503063266;2670.740850306327;0.0;0.0;3779.684287790698
9981041;2000 - 10;410.0;2;ground-source;floor_only;1.4;0.4;429.63899999999995;354.445;15.228552342780798;15;4.25;False;5840.827412072442;4948.013727162086;892.8136849103557;892.8136849103577;0.0;0.0;9805.12875
111710;1991 - 95;290.0;3;ground-source;floor_only;1.65;0.55;404.666;270.2075;16.41679805073814;16;4.25;False;8094.662313137587;5773.627986088351;2321.0343270492367;2321.0343270492353;0.0;0.0;14188.724501763669
