Household_ID;era;renovated;area_m2;huellzahl;b_ground_en12831;live_W_m2;S0;S1;S2;D1;bench;r_S0;r_S1;r_S2;r_D1
6981151;pre1975;True;240.0;1.7552395417911693;0.43458678420882885;72.55990487910859;72.55990487910859;68.37790487910858;66.9355826276547;56.48058262765469;60.0;1.209331747985143;1.139631747985143;1.115593043794245;0.9413430437942448
876511;1991_2000;False;500.0;1.43305197459637;0.5737494323061776;38.2823575808401;38.2823575808401;34.10035758084011;34.70879039736607;24.25379039736607;35.0;1.09378164516686;0.9742959308811461;0.9916797256390306;0.6929654399247449
7412010;2001_2010;False;250.0;1.7703689233046325;0.5737494323061776;35.88142707965559;35.88142707965559;31.699427079655592;32.479059677203516;22.024059677203518;32.5;1.1040439101432489;0.975366987066326;0.9993556823754928;0.6776633746831852
7101112;post2010;True;200.0;1.83;0.5737494323061776;27.813;27.813;23.631;23.89649795630224;13.441497956302241;25.0;1.11252;0.94524;0.9558599182520896;0.5376599182520896
6810910;1976_1990;True;160.0;2.131058255214004;0.5737494323061776;54.59434228526258;54.59434228526258;50.41234228526257;50.930892981165385;40.47589298116539;45.0;1.2132076063391684;1.1202742730058348;1.1317976218036752;0.899464288470342
9889190;pre1975;True;200.0;2.290467390989841;0.4433593835818529;83.35102172969523;83.35102172969523;79.16902172969522;77.6686276321594;67.2136276321594;60.0;1.3891836954949206;1.3194836954949203;1.2944771272026567;1.1202271272026567
6808461;post2010;False;207.0;1.8001672133263076;0.4433593835818529;27.598203935949414;27.598203935949414;23.41620393594942;23.280266456545863;12.825266456545862;25.0;1.1039281574379765;0.9366481574379768;0.9312106582618346;0.5130106582618345
747511;1991_2000;False;168.0;2.405560680755321;0.4752333678927176;54.32875123246281;54.32875123246281;50.146751232462805;49.8670209680368;39.4120209680368;35.0;1.5522500352132231;1.4327643209275087;1.424772027658194;1.1260577419439086
6773102;pre1975;True;200.0;1.83;0.44337695751623407;69.53699999999999;69.53699999999999;65.355;64.50565436274351;54.050654362743515;60.0;1.15895;1.08925;1.0750942393790586;0.9008442393790586
4710670;pre1975;False;300.0;1.4113622305514582;0.4433593835818529;71.79717033733405;71.79717033733405;67.61517033733406;65.45677881568545;55.00177881568547;60.0;1.1966195056222342;1.1269195056222343;1.0909463135947575;0.9166963135947578
