household_id;schema_version;generated_utc;phys_status;phys_status_reason;phys_no_result_reason;phys_no_result_is_fixable;phys_excess_confirmed;phys_era;phys_rank_in_era;phys_n_excess_confirmed_in_era;phys_deficiency_kwh_yr;phys_deficiency_lo_kwh_yr;phys_deficiency_hi_kwh_yr;phys_deficiency_band_kwh_yr;phys_rank_on;phys_deficiency_pct_of_reference;phys_deficiency_pct_lo;phys_deficiency_pct_hi;phys_term_envelope_kwh_yr;phys_term_emitter_kwh_yr;phys_term_dhw_kwh_yr;phys_scenario_capacity_lo_kwh_yr;phys_scenario_capacity_mid_kwh_yr;phys_scenario_capacity_hi_kwh_yr;phys_scenario_never_sum_into_total;phys_context_e_as_built_kwh_yr;phys_context_e_reference_kwh_yr;phys_level_is_not_a_prediction;phys_completeness_tier;phys_jaz_derived;phys_geometry_reconciles;phys_hdd_correction_extrapolated;phys_pv_level;phys_n_meter_days;visit_status;visit_technician_recoverable_kwh;visit_slope_excess_pct;visit_fault_axis_available;visit_fault_probability;visit_named_fault;visit_advisory_night_setback_prob;visit_in_training_set;visit_rank_in_era;visit_never_sum_with_phys_deficiency;setting_fault_flag;setting_fault_name
7646451;physical_baseline_v1;2026-09-10T23:31:55Z;INCONCLUSIVE;band straddles zero - the excess cannot be resolved at this precision;band straddles zero;False;False;post2010;;1.0;-79.0;-266.0;103.0;369.0;phys_deficiency_lo_kwh_yr;-2.4;-8.2;3.2;-79.0;0.0;0.0;0.0;0.0;0.0;True;3160.0;3239.0;True;T1;False;True;True;PV;341.0;SLOPE_EXCESS;270.0;20.6;True;0.602;heating curve too high;0.321;False;11.0;True;True;heating curve too high
477661;physical_baseline_v1;2026-09-10T23:31:55Z;HIGH_EXCESS;confirmed excess over code, in the worst 25% of its era by lower bound;;;True;2001_2010;7.0;35.0;2353.0;1999.0;2830.0;831.0;phys_deficiency_lo_kwh_yr;73.6;62.5;88.5;431.0;0.0;1923.0;13.0;25.0;38.0;True;5550.0;3197.0;True;T1;False;True;False;no PV;822.0;SLOPE_EXCESS;1686.0;78.5;True;0.713;heating curve too high;0.438;True;9.0;True;True;heating curve too high
122671;physical_baseline_v1;2026-09-10T23:31:55Z;INCOMPLETE_AUDIT;never computed - required building data missing, see phys_no_result_reason;insufficient usable meter days;True;;;;;;;;;phys_deficiency_lo_kwh_yr;;;;;;;;;;True;;;True;;;;False;Unknown;;NOT_ASSESSABLE;;;False;;;;;;True;;
7747482;physical_baseline_v1;2026-09-10T23:31:55Z;HIGH_EXCESS;confirmed excess over code, in the worst 25% of its era by lower bound;;;True;1976_1990;12.0;62.0;2134.0;1861.0;2614.0;753.0;phys_deficiency_lo_kwh_yr;111.0;96.8;136.0;1172.0;0.0;961.0;28.0;56.0;84.0;True;4056.0;1922.0;True;T1;False;True;False;no PV;383.0;SLOPE_EXCESS;524.0;22.2;True;0.48;;0.442;True;37.0;True;False;
100120;physical_baseline_v1;2026-09-10T23:31:55Z;INCOMPLETE_AUDIT;never computed - required building data missing, see phys_no_result_reason;insufficient usable meter days;True;;;;;;;;;phys_deficiency_lo_kwh_yr;;;;;;;;;;True;;;True;;;;False;Unknown;;NOT_ASSESSABLE;;;False;;;;;;True;;
776736;physical_baseline_v1;2026-09-10T23:31:55Z;EXCESS_CONFIRMED;confirmed excess over code, ranked below the action cut for its era;;;True;pre1975;24.0;37.0;2413.0;1515.0;3822.0;2307.0;phys_deficiency_lo_kwh_yr;132.1;82.9;209.2;2142.0;272.0;0.0;42.0;85.0;127.0;True;4240.0;1827.0;True;T2;False;True;True;PV;344.0;SLOPE_EXCESS;270.0;7.7;False;;;;;11.0;True;;
731027;physical_baseline_v1;2026-09-10T23:31:55Z;INCOMPLETE_AUDIT;never computed - required building data missing, see phys_no_result_reason;insufficient usable meter days;True;;;;;;;;;phys_deficiency_lo_kwh_yr;;;;;;;;;;True;;;True;;;;False;Unknown;;NOT_ASSESSABLE;;;False;;;;;;True;;
7679818;physical_baseline_v1;2026-09-10T23:31:55Z;INCOMPLETE_AUDIT;never computed - required building data missing, see phys_no_result_reason;insufficient usable meter days;True;;;;;;;;;phys_deficiency_lo_kwh_yr;;;;;;;;;;True;;;True;;;;False;Unknown;;NOT_ASSESSABLE;;;False;;;;;;True;;
751108;physical_baseline_v1;2026-09-10T23:31:55Z;INCOMPLETE_AUDIT;never computed - required building data missing, see phys_no_result_reason;insufficient usable meter days;True;;;;;;;;;phys_deficiency_lo_kwh_yr;;;;;;;;;;True;;;True;;;;False;Unknown;;NOT_ASSESSABLE;;;False;;;;;;True;;
816571;physical_baseline_v1;2026-09-10T23:31:55Z;INCOMPLETE_AUDIT;never computed - required building data missing, see phys_no_result_reason;insufficient usable meter days;True;;;;;;;;;phys_deficiency_lo_kwh_yr;;;;;;;;;;True;;;True;;;;False;Unknown;;NOT_ASSESSABLE;;;False;;;;;;True;;
