Household_ID;n_pre;warm_pre;cold_pre;a_pre;b_pre;hdd_pre;n_post;warm_post;cold_post;a_post;b_post;hdd_post;area_m2;footprint_m2;n_storeys_above;heated_basement;era_raw;era;renovation_count;residents;hp_type;dhw_electric;installed_kw;building_type;visit_date;pv;label_correctly_planned;label_sizing_direction;label_curve_too_high;label_limit_too_high;label_night_setback;label_curve_changed;emitter;storey_sum_m2;storey_reconciles;geometry_complete;n_days;hdd_per_day;deficiency;d_slope;d_slope_pct;lvl_pre;lvl_post;d_level_pct;changed
114798;395;140;255;34.74628497220435;2.4638854081524144;4.715489763346175;680;317;363;24.91130236138644;2.848236428689276;3.3349296888320543;301.0;186.0;1;True;< 1975;pre1975;1;3;ground-source;False;14.4;single family house;2022-01-21;False;True;;True;False;False;True;radiator_only;301.0;True;True;1075;3.842205251095382;4199.355851562996;0.38435102053686165;15.59938701958845;44.35148392774292;36.01485347600094;-18.79673398374664;True
115508;429;153;276;13.275614602572551;3.337503049241574;4.323445120097294;788;324;464;12.384863976078709;3.153374468241979;3.929747268814831;170.0;110.0;1;True;< 1975;pre1975;1;2;ground-source;False;9.6;single family house;2021-12-03;False;True;;True;True;True;True;both;170.0;True;True;1217;4.068528187631738;2620.476559236784;-0.18412858099959495;-5.516956187993205;26.286520343810217;24.6779637479112;-6.1193211382113954;True
116121;474;140;334;58.26266873404184;5.712025130321043;5.319653366354798;767;319;448;57.51161926556513;5.929300841338268;3.8880447914895226;395.0;235.0;1;True;< 1975;pre1975;0;2;air-source;True;11.3;single family house;2022-01-19;False;True;;True;False;False;True;radiator_only;395.0;True;True;1241;4.43484774433895;10241.849133099233;0.21727571101722454;3.8038297461939314;80.53039986887221;80.62637698110467;0.11918121900392992;True
118708;591;280;311;15.500733075940678;2.627325122221732;3.514101915201451;804;335;469;13.90361608707683;2.4529451104511297;3.8221840976278028;186.0;66.0;1;True;1991 - 95;1991_2000;0;2;ground-source;False;8.0;single family house;2021-12-16;False;True;;False;False;False;;floor_only;156.0;False;False;1395;3.6916632590514777;457.8307089629293;-0.17438001177060247;-6.637169122911684;25.743084622130503;23.466165438982877;-8.844779934375977;
120741;438;138;300;12.458392169204831;4.931821525818506;5.163989113890543;770;334;436;11.8866358919515;4.575009602637215;3.5886236118953514;164.0;66.0;2;True;1981 - 85;1976_1990;0;2;air-source;False;13.0;single family house;2022-01-19;False;True;;True;True;False;True;floor_only;164.0;True;True;1208;4.159824017420098;1634.1554926989866;-0.35681192318129096;-7.23489123264802;31.684581346653864;29.72183119422895;-6.194653894747437;True
121728;794;289;505;30.63151517488266;1.352500360091636;4.49672885408681;767;334;433;29.52715443880116;1.4505103724936361;3.5674307012074147;455.0;170.0;2;True;> 2010;post2010;0;7;ground-source;False;10.6;multi family house;2022-01-21;False;True;;True;False;True;True;floor_only;455.0;True;True;1561;4.040116629065352;-136.11515619563306;0.09801001240200002;7.246579394282715;35.90409603563757;35.18181705775843;-2.0116896333004037;True
122850;288;82;206;17.051036521269246;2.7190777562095723;4.933896235909823;625;294;331;12.179228829296308;2.126692029388585;3.4212118492753625;220.0;140.0;1;True;2000 - 10;2001_2010;0;1;ground-source;True;9.1;single family house;2022-06-13;False;True;;False;False;True;True;floor_only;220.0;True;True;913;3.898378446592695;860.9196343260496;-0.5923857268209871;-21.78627387422639;27.65107609192315;20.469914748311183;-25.970639694957757;True
122887;729;306;423;23.792038473839686;1.8678858439352202;3.7756549273374285;370;166;204;21.88137347523324;1.6028728308423512;3.3280359576968275;232.0;108.0;2;True;2000 - 10;2001_2010;0;3;air-source;False;9.74;single family house;2023-02-23;False;True;;False;False;False;True;floor_only;232.0;True;True;1099;3.624955183236407;488.4252212467318;-0.26501301309286895;-14.187859175298714;31.073795611516605;28.130005164729297;-9.47354640414857;True
461104;289;83;206;12.803084670862473;2.2025474817432986;4.916823930595256;478;194;284;9.451156495151103;2.091738108614535;4.026706915893518;210.0;70.0;3;False;1991 - 95;1991_2000;0;3;air-source;False;5.6;single family house;2022-06-15;False;True;;False;False;False;False;floor_only;210.0;True;True;767;4.362096508134459;1037.5537825413767;-0.1108093731287636;-5.030964101670983;21.38948511836906;17.605578218517916;-17.690500163566654;False
468980;818;311;507;8.59967564312986;1.726995791221762;4.308937130151306;401;170;231;10.706649479562063;4.96000887554074;3.7460704217716576;160.0;75.0;2;True;< 1975;pre1975;1;2;air-source;False;12.9;single family house;2023-01-23;False;True;;True;False;False;True;radiator_only;160.0;True;True;1219;4.123777532070716;3857.795482019818;3.2330130843189777;187.2044564759353;15.332187680896123;30.042724084805574;95.9454495997251;True
512280;670;284;386;23.532938181791515;1.7292274553850753;4.176423220852261;757;319;438;22.40682522559521;1.6397221655112881;3.795686290276262;300.0;150.0;2;True;> 2010;post2010;0;4;ground-source;False;10.6;single family house;2022-02-01;False;True;;;False;False;False;floor_only;300.0;True;True;1427;3.974448549201223;-122.57445969880064;-0.08950528987378714;-5.176027572026697;30.274150128335858;28.79911018309766;-4.872275320645902;False
610891;322;116;206;26.551626276586333;2.9192652586583345;4.412925825906922;502;247;255;22.182587528893947;2.5394205678989645;3.244465283792367;240.0;110.0;2;True;2000 - 10;2001_2010;0;4;air-source;True;11.6;single family house;2022-07-08;False;True;;True;False;False;True;floor_only;240.0;True;True;824;3.701072437385676;2411.83783152936;-0.37984469075937;-13.011653861627595;37.932075838334185;32.08225238577005;-15.421838439572825;True
