Household_ID;era;era_raw;tier;area_m2;E_as_built;E_as_built_lo;E_as_built_hi;E_reference;E_reference_lo;E_reference_hi;deficiency;deficiency_lo;deficiency_hi;term_envelope;term_envelope_lo;term_envelope_hi;term_emitter;term_emitter_lo;term_emitter_hi;term_dhw;term_dhw_lo;term_dhw_hi;H_as_built;H_as_built_lo;H_as_built_hi;design_kw;design_kw_lo;design_kw_hi;huellzahl;huellzahl_lo;huellzahl_hi;band_abs;band_rel;decisive;def_pct_of_ref
779742;pre1975;< 1975;T3;650.0;23664.2961931631;17875.606643497234;34751.849116549325;9863.183439264132;9453.540510540857;10907.594336644524;13801.112753898968;7967.617100469971;24415.42261224417;11982.398415822066;6728.767338367227;20992.79541193806;1818.7143380769028;494.23472868739725;3581.745131466292;0.0;0.0;0.0;1281.7244915251222;972.7765919157359;1780.5734495454583;38.45173474575367;29.18329775747208;53.417203486363746;1.3490762119232476;1.3127593505086648;1.6216661150947764;16447.805511774197;1.1917738667215445;True;139.92554066224113
700831;1976_1990;1976 - 80;T2;450.0;9878.787150620154;8645.07995286063;12549.992130287243;4376.135916194938;4118.798856076255;4882.819837314809;5502.651234425216;4256.172894488268;8109.270550965685;4072.0324345795857;3233.055945786818;6004.184623752913;469.2405389760646;-76.8457114155532;1278.740417840473;961.3782608695652;830.6291787691844;1090.9369543134069;878.853379547902;806.0606421339614;1059.5668860908152;26.36560138643706;24.18181926401884;31.787006582724455;1.831384387633061;1.7642434448939246;2.1934193809582334;3853.0976564774173;0.700225671649331;True;125.74223789671017
1191127;2001_2010;2000 - 10;T1;220.0;2732.5410170101386;2590.7264486675767;3141.2062411224515;2422.175188676286;2271.3903679637638;2764.088456862858;310.36582833385273;160.2154786489472;530.868380600627;310.3658283338527;174.96761191515563;503.93688266640584;0.0;-74.00648282747579;80.00735300621162;0.0;0.0;0.0;257.9090801387632;241.057801239304;310.63149671926834;7.737272404162896;7.23173403717912;9.318944901578051;1.7110350015768543;1.6355495354917406;2.1791588949044223;370.65290195167984;1.1942452039306912;True;12.813516948931637
121798;1976_1990;1981 - 85;T2;207.0;4196.924434093158;3771.3780778545924;5070.100480454413;2036.405362897864;1928.6144918808845;2268.053518241671;2160.519071195294;1743.3981053602658;2927.614508236593;1031.800987904125;802.1739798821616;1573.618531299873;167.33982242160363;-44.17490020123922;447.79836997877067;961.3782608695652;838.0406908096988;1089.7810145724463;267.7438609286585;248.99111193668836;327.49552078980196;8.032315827859755;7.46973335810065;9.824865623694057;1.0069357544001116;0.9540110464516742;1.2842813633075971;1184.216402876327;0.5481166163560716;True;106.09474471825258
114671;pre1975;< 1975;T3;260.0;5504.718976138488;4338.56864877688;7417.560264873569;2770.6991071834827;2590.9281286092164;3062.6116041389487;2734.019868955005;1516.1369725570466;4569.400962506299;2411.105961724352;1309.9962311811082;4068.3646259444467;322.9139072306533;118.01731256726906;649.7698987486141;0.0;0.0;0.0;612.2596810035552;462.06977282927943;851.8538487714219;18.367790430106655;13.862093184878383;25.555615463142658;1.6972226608515917;1.6378962114237503;2.0113847308612107;3053.2639899492524;1.1167673010058512;True;98.67617388934869
1121037;2001_2010;2000 - 10;T1;150.0;2738.250301501862;2547.1035877724603;3071.6363275781646;2482.229387999632;2276.7004435580425;2769.2589695637835;256.0209135022301;129.30452432796758;410.427392582203;256.0209135022299;138.68573259754453;399.21178119374014;0.0;-53.860345189027676;53.64707472081902;0.0;0.0;0.0;193.0095948869755;179.78252368155256;221.7259077696848;5.790287846609265;5.393475710446578;6.651777233090544;1.9970765814495917;1.8990601749995983;2.3328553484203516;281.1228682542354;1.0980465010011249;True;10.314152057822147
120912;pre1975;< 1975;T3;300.0;15375.632584718673;11153.825453185684;21875.09360542814;5541.749445012788;5264.002297992955;6166.142863164225;9833.883139705886;5571.041678856416;15979.907275842254;8633.326213235297;4760.248983713157;14213.66671236624;1200.5569264705885;317.1412026522551;2280.0713292005316;0.0;0.0;0.0;667.7700000000001;499.0669209010838;915.4217930633695;20.0331;14.972007627032514;27.462653791901086;1.58;1.5096096298323027;1.8188816345478525;10408.865596985837;1.0584695230878194;True;177.4508796776393
9880798;1991_2000;1991 - 95;T1;150.0;5087.822481291556;4716.342796151971;5602.8780593056945;2565.853947446014;2355.8973249240316;2847.6681582946;2521.968533845542;2218.6556228111235;2872.221930284401;599.2120121064115;477.8790061456765;780.6986684225217;0.0;-57.57843802843888;59.73063811780657;1922.7565217391304;1674.8419685076683;2195.8494279961296;240.4414284074428;223.78152665001195;273.80135189668925;7.213242852223284;6.713445799500359;8.214040556900677;2.027350647362943;1.922576495348047;2.3239838582701524;653.5663074732774;0.25914927117536557;True;98.28963711499813
680861;1991_2000;1991 - 95;T1;400.0;4783.223663249207;4536.543172728019;5619.708736394919;3522.383264986092;3365.878301110314;3985.632167468093;1260.8403982631148;1002.953453914391;1865.96534084526;1260.8403982631144;1053.681626034738;1809.900609966138;0.0;-171.57057550094314;160.33932306546197;0.0;0.0;0.0;500.784613401651;476.5051308053468;598.1330067580833;15.02353840204953;14.295153924160404;17.943990202742498;1.3892027881893227;1.3235280320930158;1.7958626263919764;863.011886930869;0.6844735369517989;True;35.79509392962362
468185;1976_1990;1976 - 80;T3;300.0;5898.285633567508;5039.44481913087;7939.770726709425;2900.017344355677;2770.810727036168;3371.5698352359987;2998.268289211831;1995.0888394181104;4821.8102007371635;1758.1164018615907;1020.3222145836207;3291.5490222765716;278.77362648067617;-57.61020670442146;761.6524078451649;961.3782608695652;820.9042603958744;1096.0724394469519;457.81091466523765;379.30490760683426;637.2710959640331;13.734327439957129;11.379147228205028;19.118132878920996;1.48305197459637;1.4099071750958303;2.0150400748218065;2826.7213613190534;0.9427846638974816;True;103.38794335307615
674801;1991_2000;1995 - 00;T1;150.0;4392.521759822866;4115.942773155864;4897.969514847425;3094.2463709045173;2913.769702983376;3426.3304547712482;1298.275388918349;973.1572504728641;1732.9197579298782;1298.2753889183493;1006.8067727351875;1676.469397039967;0.0;-132.8418339353398;132.32904581653906;0.0;0.0;0.0;240.4414284074428;225.5745155695239;270.49799846096806;7.213242852223284;6.767235467085718;8.114939953829042;2.027350647362943;1.9295518914554732;2.2995138166489872;759.7625074570141;0.585209050361808;True;41.957725187178106
781007;1976_1990;1986 - 90;T1;200.0;3943.5501554977395;3675.2673998434543;4510.0257820062525;2348.4630439466355;2202.522103088979;2602.9838493086177;1595.087111551104;1282.1901086864436;2058.75401172989;1595.0871115511052;1317.2484252565362;2098.234598253213;0.0;-89.9397967894819;82.16312949416715;0.0;0.0;0.0;390.38;359.856428215193;457.97479705898576;11.7114;10.795692846455788;13.739243911769572;1.83;1.7569510006933606;2.1360896526106345;776.5639030434463;0.4868473310453217;True;67.9204689067847
